audited,bank,broadCastDate,companyName,consolidated,cumulative,difference,exchdisstime,filingDate,financialYear,format,fromDate,indAs,industry,isin,oldNewFlag,params,period,reInd,relatingTo,resultDescription,resultDetailedDataLink,seqNumber,symbol,toDate,xbrl,seqNumber_int
Un-Audited,N,2011-01-21 17:10:09,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,21-Jan-2011 17:14,-,Old,2010-10-01,Non-Ind-AS,-,INE002A01018,,01-Oct-201031-Dec-2010Q3UNNNAERELIANCE,Quarterly,-,Third Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_81624.html,81624,RELIANCE,2010-12-31,https://nsearchives.nseindia.com/corporate/xbrl/-,81624
Audited,N,2011-04-21 17:47:08,Reliance Industries Limited,Non-Consolidated,Cumulative,::,,21-Apr-2011 17:50,-,Old,2010-04-01,Non-Ind-AS,-,INE002A01018,,01-Apr-201031-Mar-2011ANANCNAERELIANCE,Annual,-,Annual,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_83521.html,83521,RELIANCE,2011-03-31,https://nsearchives.nseindia.com/corporate/xbrl/-,83521
Audited,N,2011-04-21 17:51:00,Reliance Industries Limited,Consolidated,Cumulative,::,,21-Apr-2011 17:55,-,Old,2010-04-01,Non-Ind-AS,-,INE002A01018,,01-Apr-201031-Mar-2011ANANCCAERELIANCE,Annual,-,Annual,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_83522.html,83522,RELIANCE,2011-03-31,https://nsearchives.nseindia.com/corporate/xbrl/-,83522
Un-Audited,N,2011-07-25 17:32:19,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,25-Jul-2011 17:40,01-Apr-2011 To 31-Mar-2012,Old,2011-04-01,Non-Ind-AS,-,INE002A01018,,01-Apr-201130-Jun-2011Q1UNNNAERELIANCE,Quarterly,-,First Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_86936.html,86936,RELIANCE,2011-06-30,https://nsearchives.nseindia.com/corporate/xbrl/-,86936
Un-Audited,N,2011-10-15 16:16:48,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,15-Oct-2011 16:20,01-Apr-2011 To 31-Mar-2012,Old,2011-07-01,Non-Ind-AS,-,INE002A01018,,01-Jul-201130-Sep-2011Q2UNNNAERELIANCE,Quarterly,-,Second Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_89109.html,89109,RELIANCE,2011-09-30,https://nsearchives.nseindia.com/corporate/xbrl/-,89109
Un-Audited,N,2012-01-20 17:56:58,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,20-Jan-2012 18:05,01-Apr-2011 To 31-Mar-2012,Old,2011-10-01,Non-Ind-AS,-,INE002A01018,,01-Oct-201131-Dec-2011Q3UNNNAERELIANCE,Quarterly,-,Third Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_91405.html,91405,RELIANCE,2011-12-31,https://nsearchives.nseindia.com/corporate/xbrl/-,91405
Audited,N,2012-05-04 19:04:11,Reliance Industries Limited,Non-Consolidated,Cumulative,::,,12-May-2012 19:09,01-Apr-2011 To 31-Mar-2012,Old,2011-04-01,Non-Ind-AS,-,INE002A01018,,01-Apr-201131-Mar-2012ANANCNAERELIANCE,Annual,-,Annual,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_93746.html,93746,RELIANCE,2012-03-31,https://nsearchives.nseindia.com/corporate/xbrl/-,93746
Audited,N,2012-05-04 19:41:13,Reliance Industries Limited,Consolidated,Cumulative,::,,12-May-2012 19:09,01-Apr-2011 To 31-Mar-2012,Old,2011-04-01,Non-Ind-AS,-,INE002A01018,,01-Apr-201131-Mar-2012ANANCCAERELIANCE,Annual,-,Annual,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_93752.html,93752,RELIANCE,2012-03-31,https://nsearchives.nseindia.com/corporate/xbrl/-,93752
Un-Audited,N,2012-07-20 17:53:50,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,20-Jul-2012 17:58,01-Apr-2012 To 31-Mar-2013,Old,2012-04-01,Non-Ind-AS,-,INE002A01018,N,01-Apr-201230-Jun-2012Q1UNNNAERELIANCE,Quarterly,-,First Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_97390.html,97390,RELIANCE,2012-06-30,https://nsearchives.nseindia.com/corporate/xbrl/-,97390
Un-Audited,N,2012-10-15 17:56:30,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,15-Oct-2012 18:01,01-Apr-2012 To 31-Mar-2013,Old,2012-07-01,Non-Ind-AS,-,INE002A01018,N,01-Jul-201230-Sep-2012Q2UNNNAERELIANCE,Quarterly,-,Second Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_99769.html,99769,RELIANCE,2012-09-30,https://nsearchives.nseindia.com/corporate/xbrl/-,99769
