symbol,is_nifty50,financial_period,result_date_announced_to_nse,actual_result_declaration_date,prior_notice_days,intimation_details,raw_broadcast_time
DLF,NO,Qtr ended 31-DEC-2024,2025-01-17,2025-01-24,7 Days Prior Notice,"Updates Intimation received from DLF Southern Towns Private Limited (DSTPL), a wholly owned subsidiary company, regardin",24-JAN-2025
DRREDDY,YES ✅,Qtr ended 31-DEC-2024,2025-01-23,2025-01-24,1 Days Prior Notice,Outcome of Board Meeting Dr. Reddy's Laboratories Limited has informed the Exchange regarding outcome of   Board meeting,24-JAN-2025
GODREJCP,NO,Qtr ended 31-DEC-2024,2024-12-27,2025-01-24,28 Days Prior Notice,General Updates Godrej Consumer Products Limited has informed the Exchange about Intimation of Approval received for Re-,24-JAN-2025
INDIGO,YES ✅,Qtr ended 31-DEC-2024,N/A,2025-01-24,N/A,N/A,24-JAN-2025
INDUSTOWER,NO,Qtr ended 31-DEC-2024,2025-01-10,2025-01-24,14 Days Prior Notice,General Updates Indus Towers Limited has informed the Exchange regarding intimation under Regulation 30 of SEBI (Listing,24-JAN-2025
JSWSTEEL,YES ✅,Qtr ended 31-DEC-2024,N/A,2025-01-24,N/A,N/A,24-JAN-2025
LAURUSLABS,NO,Qtr ended 31-DEC-2024,N/A,2025-01-24,N/A,N/A,24-JAN-2025
MANKIND,NO,Qtr ended 31-DEC-2024,2024-12-28,2025-01-24,27 Days Prior Notice,General Updates Intimation Under Regulation 30 Of The SEBI (Listing Obligations And Disclosure Requirements) Regulations,24-JAN-2025
MPHASIS,NO,Qtr ended 31-DEC-2024,2025-01-23,2025-01-24,1 Days Prior Notice,"Financial Result Updates  MphasiS Limited has submitted to the Exchange, the financial results for the period ended Dece",24-JAN-2025
SHRIRAMFIN,YES ✅,Qtr ended 31-DEC-2024,N/A,2025-01-24,N/A,N/A,24-JAN-2025
TORNTPHARM,NO,Qtr ended 31-DEC-2024,N/A,2025-01-24,N/A,N/A,24-JAN-2025
ADANIGREEN,NO,Qtr ended 31-DEC-2024,2024-12-28,2025-01-23,26 Days Prior Notice,General Updates Adani Green Energy Limited has informed the Exchange about Intimation of Incorporation of a step-down su,23-JAN-2025
BPCL,NO,Qtr ended 31-DEC-2024,2025-01-22,2025-01-23,1 Days Prior Notice,"Financial Result Updates  Bharat Petroleum Corporation Limited has submitted to the Exchange, the financial results for ",23-JAN-2025
COFORGE,NO,Qtr ended 31-DEC-2024,2024-12-27,2025-01-23,27 Days Prior Notice,"Outcome of Board Meeting Coforge Limited has informed the Exchange regarding  Board meeting held on December 27, 2024.",23-JAN-2025
HDFCBANK,YES ✅,Qtr ended 31-DEC-2024,2025-01-04,2025-01-23,19 Days Prior Notice,Updates HDFC Bank Limited has informed the Exchange regarding Intimation under SEBI (Listing Obligations and Disclosure ,23-JAN-2025
HINDPETRO,NO,Qtr ended 31-DEC-2024,N/A,2025-01-23,N/A,N/A,23-JAN-2025
IEX,NO,Qtr ended 31-DEC-2024,2025-01-16,2025-01-23,7 Days Prior Notice,Analysts/Institutional Investor Meet/Con. Call Updates Indian Energy Exchange Limited has informed the Exchange about Sc,23-JAN-2025
KFINTECH,NO,Qtr ended 31-DEC-2024,2024-12-19,2025-01-23,35 Days Prior Notice,General Updates KFin Technologies Limited has informed the Exchange about Intimation of allotment of Equity Shares pursu,23-JAN-2025
NAM-INDIA,NO,Qtr ended 31-DEC-2024,N/A,2025-01-23,N/A,N/A,23-JAN-2025
PIDILITIND,NO,Qtr ended 31-DEC-2024,2025-01-13,2025-01-23,10 Days Prior Notice,Updates Pidilite Industries Limited has informed the Exchange regarding 'Intimation of Q3FY25 Earnings Call'.,23-JAN-2025
SONACOMS,NO,Qtr ended 31-DEC-2024,2025-01-22,2025-01-23,1 Days Prior Notice,Updates Sona Blw Precision Forgings Limited has informed the Exchange regarding 'Intimation of request from Singapore VI,23-JAN-2025
ULTRACEMCO,YES ✅,Qtr ended 31-DEC-2024,2024-12-27,2025-01-23,27 Days Prior Notice,Outcome of Board Meeting UltraTech Cement Limited has informed the Exchange regarding Outcome of Board Meeting held on D,23-JAN-2025
UNITDSPR,NO,Qtr ended 31-DEC-2024,N/A,2025-01-23,N/A,N/A,23-JAN-2025
HINDUNILVR,YES ✅,Qtr ended 31-DEC-2024,2025-01-16,2025-01-22,6 Days Prior Notice,Analysts/Institutional Investor Meet/Con. Call Updates Intimation Of Earnings Conference Call for the quarter ended 31st,22-JAN-2025
PERSISTENT,NO,Qtr ended 31-DEC-2024,N/A,2025-01-22,N/A,N/A,22-JAN-2025
PNBHOUSING,NO,Qtr ended 31-DEC-2024,2025-01-21,2025-01-22,1 Days Prior Notice,"Financial Result Updates  PNB Housing Finance Limited has submitted to the Exchange, the financial results for the perio",22-JAN-2025
POLYCAB,NO,Qtr ended 31-DEC-2024,N/A,2025-01-22,N/A,N/A,22-JAN-2025
ICICIPRULI,NO,Quarterly Financial Results,2025-01-21,2025-01-21,0 Days Prior Notice,Outcome of Board Meeting ICICI Prudential Life Insurance Company Limited has informed the Exchange regarding Outcome of ,21-Jan-2025 18:18:17
ICICIPRULI,NO,Quarterly Financial Results,2025-01-21,2025-01-21,0 Days Prior Notice,Outcome of Board Meeting ICICI Prudential Life Insurance Company Limited has informed the Exchange regarding Outcome of ,21-Jan-2025 18:16:05
ICICIPRULI,NO,Quarterly Financial Results,2025-01-21,2025-01-21,0 Days Prior Notice,Outcome of Board Meeting ICICI Prudential Life Insurance Company Limited has informed the Exchange regarding Outcome of ,21-Jan-2025 18:14:37
KEI,NO,Qtr ended 31-DEC-2024,N/A,2025-01-21,N/A,N/A,21-JAN-2025
OBEROIRLTY,NO,Qtr ended 31-DEC-2024,2025-01-20,2025-01-21,1 Days Prior Notice,"Financial Result Updates  Oberoi Realty Limited has submitted to the Exchange, the financial results for the period ende",21-JAN-2025
APLAPOLLO,NO,Qtr ended 31-DEC-2024,N/A,2025-01-20,N/A,N/A,20-JAN-2025
DIXON,NO,Qtr ended 31-DEC-2024,N/A,2025-01-20,N/A,N/A,20-JAN-2025
ETERNAL,YES ✅,Qtr ended 31-DEC-2024,2025-01-15,2025-01-20,5 Days Prior Notice,Analysts/Institutional Investor Meet/Con. Call Updates Zomato Limited has informed the exchange that Company will hold i,20-JAN-2025
IRFC,NO,Qtr ended 31-DEC-2024,N/A,2025-01-20,N/A,N/A,20-JAN-2025
LTF,NO,Qtr ended 31-DEC-2024,N/A,2025-01-20,N/A,N/A,20-JAN-2025
PAYTM,NO,Qtr ended 31-DEC-2024,2025-01-17,2025-01-20,3 Days Prior Notice,Outcome of Board Meeting One 97 Communications Limited has informed the Exchange regarding outcome of Nomination and Rem,20-JAN-2025
SUPREMEIND,NO,Qtr ended 31-DEC-2024,N/A,2025-01-20,N/A,N/A,20-JAN-2025
RBLBANK,NO,Qtr ended 31-DEC-2024,2024-12-16,2025-01-18,33 Days Prior Notice,"Outcome of Board Meeting RBL Bank Limited has informed the Exchange regarding  Board meeting held on December 16, 2024.",18-JAN-2025
ICICIGI,NO,Quarterly Financial Results,2025-01-17,2025-01-17,0 Days Prior Notice,Outcome of Board Meeting ICICI Lombard General Insurance Company Limited has informed the Exchange regarding  Outcome of,17-Jan-2025 19:45:29
ICICIGI,NO,Quarterly Financial Results,2025-01-17,2025-01-17,0 Days Prior Notice,Outcome of Board Meeting ICICI Lombard General Insurance Company Limited has informed the Exchange regarding  Outcome of,17-Jan-2025 16:57:53
INDHOTEL,NO,Qtr ended 31-DEC-2024,N/A,2025-01-17,N/A,N/A,17-JAN-2025
JIOFIN,YES ✅,Qtr ended 31-DEC-2024,2025-01-10,2025-01-17,7 Days Prior Notice,Analysts/Institutional Investor Meet/Con. Call Updates We wish to inform you that a presentation to analysts on financia,17-JAN-2025
SBILIFE,YES ✅,Qtr ended ,2024-12-30,2025-01-17,18 Days Prior Notice,Outcome of Board Meeting SBI Life Insurance Company Limited has informed the Exchange regarding Outcome of Board Meeting,17-Jan-2025
TECHM,YES ✅,Qtr ended 31-DEC-2024,N/A,2025-01-17,N/A,N/A,17-JAN-2025
WIPRO,YES ✅,Qtr ended 31-DEC-2024,2024-12-18,2025-01-17,30 Days Prior Notice,General Updates Wipro Limited has informed the Exchange that pursuant to Regulation 30 read with Para A of Part A of Sch,17-JAN-2025
AXISBANK,YES ✅,Qtr ended 31-DEC-2024,N/A,2025-01-16,N/A,N/A,16-JAN-2025
HAVELLS,NO,Qtr ended 31-DEC-2024,N/A,2025-01-16,N/A,N/A,16-JAN-2025
INFY,YES ✅,Qtr ended 31-DEC-2024,N/A,2025-01-16,N/A,N/A,16-JAN-2025
LTM,NO,Qtr ended 31-DEC-2024,N/A,2025-01-16,N/A,N/A,16-JAN-2025
RELIANCE,YES ✅,Qtr ended 31-DEC-2024,2025-01-09,2025-01-16,7 Days Prior Notice,Analysts/Institutional Investor Meet/Con. Call Updates Please note that a meeting of the Board of Directors of the Compa,16-JAN-2025
HDFCLIFE,YES ✅,Qtr ended ,2025-01-15,2025-01-15,0 Days Prior Notice,Board Meeting Intimation HDFC Life Insurance Company Limited has informed the Exchange about Board Meeting to be held on,15-Jan-2025
MAHABANK,NO,Qtr ended 31-DEC-2024,2024-12-17,2025-01-15,29 Days Prior Notice,"Outcome of Board Meeting Bank of Maharashtra has informed the Exchange regarding  Board meeting held on December 17, 202",15-JAN-2025
OFSS,NO,Qtr ended 31-DEC-2024,N/A,2025-01-15,N/A,N/A,15-JAN-2025
TATAMOTORS,NO,Quarterly Financial Results,2025-01-15,2025-01-15,0 Days Prior Notice,Board Meeting Intimation Intimation of Board Meeting for Quarterly Financial Results ,15-Jan-2025
HCLTECH,YES ✅,Qtr ended 31-DEC-2024,2025-01-02,2025-01-14,12 Days Prior Notice,Updates HCL Technologies Limited has informed the Exchange regarding 'Intimation of change of name of the Company s Regi,14-JAN-2025
HDFCAMC,NO,Qtr ended 31-DEC-2024,2025-01-02,2025-01-14,12 Days Prior Notice,Analysts/Institutional Investor Meet/Con. Call Updates HDFC Asset Management Company Limited has informed the Exchange a,14-JAN-2025
ANGELONE,NO,Quarterly Financial Results,2025-01-13,2025-01-13,0 Days Prior Notice,"Dividend Angel One Limited has informed the Exchange that Board of Directors at its meeting held on January 13, 2025, de",2025-01-13 18:49:37
ANGELONE,NO,Quarterly Financial Results,2025-01-13,2025-01-13,0 Days Prior Notice,"Dividend Angel One Limited has informed the Exchange that Board of Directors at its meeting held on January 13, 2025, de",2025-01-13 18:47:25
LICI,NO,Quarterly Financial Results,2025-01-13,2025-01-13,0 Days Prior Notice,Updates Life Insurance Corporation Of India has informed the Exchange regarding 'Outcome of Board Meeting'.,13-Jan-2025 22:38:55
DMART,NO,Qtr ended 31-DEC-2024,2024-12-15,2025-01-11,27 Days Prior Notice,Updates Avenue Supermarts Limited has informed the Exchange regarding 'Store Opening Intimation'.,11-JAN-2025
IREDA,NO,Qtr ended 31-DEC-2024,2025-01-06,2025-01-09,3 Days Prior Notice,Updates Indian Renewable Energy Development Agency Limited has informed the Exchange regarding 'Intimation Of Change In ,09-JAN-2025
TATAELXSI,NO,Qtr ended 31-DEC-2024,N/A,2025-01-09,N/A,N/A,09-JAN-2025
TCS,YES ✅,Qtr ended 31-DEC-2024,2025-01-01,2025-01-09,8 Days Prior Notice,Updates Tata Consultancy Services Limited has informed the Exchange regarding 'Intimation of Change in name of Company's,09-JAN-2025
RECLTD,NO,Quarterly Financial Results,2024-11-19,2024-12-24,35 Days Prior Notice,General Updates Intimation of sale and transfer of project specific SPV/subsidiary of REC Limited.,24-Dec-2024 15:19:23
ICICIGI,NO,Quarterly Financial Results,2024-11-29,2024-12-10,11 Days Prior Notice,Updates ICICI Lombard General Insurance Company Limited has informed the Exchange regarding 'Schedule of Analyst/ Instit,10-Dec-2024 18:58:01
RECLTD,NO,Quarterly Financial Results,2024-11-05,2024-12-06,31 Days Prior Notice,General Updates Intimation of incorporation of two (2) subsidiary companies.,06-Dec-2024 13:27:38
SWIGGY,NO,Qtr ended 30-SEP-2024,2024-11-13,2024-12-04,21 Days Prior Notice,General Updates Swiggy Limited has informed the Exchange about Intimation under Regulation 7(1) of the Securities and Ex,04-DEC-2024
ANGELONE,NO,Quarterly Financial Results,2024-10-25,2024-11-29,35 Days Prior Notice,General Updates Angel One Limited has informed the Exchange about Disclosure Pursuant to the provisions of Regulation 30,2024-11-29 13:08:05
ABCAPITAL,NO,Qtr ended 30-SEP-2024,2024-10-30,2024-11-26,27 Days Prior Notice,Outcome of Board Meeting Aditya Birla Capital Limited has informed the Exchange regarding Outcome of Board Meeting held ,26-NOV-2024
SIEMENS,NO,Qtr ended 30-SEP-2024,N/A,2024-11-26,N/A,N/A,26-NOV-2024
SAGILITY,NO,Qtr ended 30-SEP-2024,N/A,2024-11-25,N/A,N/A,25-NOV-2024
WAAREEENER,NO,Qtr ended 30-SEP-2024,2024-11-18,2024-11-19,1 Days Prior Notice,"Financial Result Updates  Waaree Energies Limited has submitted to the Exchange, the financial results for the period en",19-NOV-2024
ANGELONE,NO,Quarterly Financial Results,2024-10-14,2024-11-18,35 Days Prior Notice,"Outcome of Board Meeting Angel One Limited has informed the Exchange regarding  Board meeting held on October 14, 2024. ",2024-11-18 17:39:45
BDL,NO,Qtr ended 30-SEP-2024,2024-11-14,2024-11-15,1 Days Prior Notice,"Financial Result Updates  Bharat Dynamics Limited has submitted to the Exchange, the financial results for the period en",15-NOV-2024
GLENMARK,NO,Qtr ended 30-SEP-2024,2024-11-14,2024-11-15,1 Days Prior Notice,"Financial Result Updates  Glenmark Pharmaceuticals Limited has submitted to the Exchange, the financial results for the ",15-NOV-2024
HEROMOTOCO,NO,Qtr ended 30-SEP-2024,2024-11-14,2024-11-15,1 Days Prior Notice,"Financial Result Updates  Hero MotoCorp Limited has submitted to the Exchange, the financial results for the period ende",15-NOV-2024
BHARATFORG,NO,Qtr ended 30-SEP-2024,2024-10-10,2024-11-14,35 Days Prior Notice,Other Restructuring Intimation under Regulation 30 of the Listing Regulations.,14-NOV-2024
CROMPTON,NO,Qtr ended 30-SEP-2024,N/A,2024-11-14,N/A,N/A,14-NOV-2024
DELHIVERY,NO,Qtr ended 30-SEP-2024,N/A,2024-11-14,N/A,N/A,14-NOV-2024
GRASIM,YES ✅,Qtr ended 30-SEP-2024,2024-10-10,2024-11-14,35 Days Prior Notice,Loss of Share Certificates Intimation regarding issuance of  Letter(s) of Confirmation  in lieu of share certificate(s) ,14-NOV-2024
HAL,NO,Qtr ended 30-SEP-2024,N/A,2024-11-14,N/A,N/A,14-NOV-2024
KALYANKJIL,NO,Qtr ended 30-SEP-2024,2024-11-13,2024-11-14,1 Days Prior Notice,"Financial Result Updates  Kalyan Jewellers India Limited has submitted to the Exchange, the financial results for the pe",14-NOV-2024
MUTHOOTFIN,NO,Quarterly Financial Results,2024-11-14,2024-11-14,0 Days Prior Notice,"Outcome of Board Meeting Muthoot Finance Limited has informed the Exchange regarding  Board meeting held on November 14,",14-Nov-2024 15:58:36
MUTHOOTFIN,NO,Quarterly Financial Results,2024-11-14,2024-11-14,0 Days Prior Notice,"Outcome of Board Meeting Muthoot Finance Limited has informed the Exchange regarding  Board meeting held on November 14,",14-Nov-2024 15:50:33
NBCC,NO,Qtr ended 30-SEP-2024,2024-10-10,2024-11-14,35 Days Prior Notice,Updates NBCC (India) Limited has informed the Exchange regarding 'Intimation of work order received by NBCC in normal co,14-NOV-2024
PIIND,NO,Qtr ended 30-SEP-2024,2024-11-13,2024-11-14,1 Days Prior Notice,Outcome of Board Meeting PI Industries Limited has informed the Exchange regarding Outcome of Board Meeting held on Nove,14-NOV-2024
SOLARINDS,NO,Qtr ended 30-SEP-2024,2024-11-04,2024-11-14,10 Days Prior Notice,Bagging/Receiving of orders/contracts Solar Industries India Limited has informed the Exchange about Intimation for Rece,14-NOV-2024
ALKEM,NO,Qtr ended 30-SEP-2024,N/A,2024-11-13,N/A,N/A,13-NOV-2024
EICHERMOT,YES ✅,Qtr ended 30-SEP-2024,N/A,2024-11-13,N/A,N/A,13-NOV-2024
HYUNDAI,NO,Qtr ended 30-SEP-2024,2024-10-23,2024-11-13,21 Days Prior Notice,Updates Hyundai Motor India Limited has informed the Exchange regarding 'Intimation pursuant to Regulation 8(1) and 8(2),13-NOV-2024
IDEA,NO,Qtr ended 30-SEP-2024,N/A,2024-11-13,N/A,N/A,13-NOV-2024
NATIONALUM,NO,Qtr ended 30-SEP-2024,N/A,2024-11-13,N/A,N/A,13-NOV-2024
BOSCHLTD,NO,Qtr ended 30-SEP-2024,N/A,2024-11-12,N/A,N/A,12-NOV-2024
BRITANNIA,NO,Qtr ended 30-SEP-2024,2024-11-11,2024-11-12,1 Days Prior Notice,"Financial Result Updates  Britannia Industries Limited has submitted to the Exchange, the financial results for the peri",12-NOV-2024
BSE,NO,Qtr ended 30-SEP-2024,N/A,2024-11-12,N/A,N/A,12-NOV-2024
MOTHERSON,NO,Qtr ended 30-SEP-2024,N/A,2024-11-12,N/A,N/A,12-NOV-2024
NYKAA,NO,Qtr ended 30-SEP-2024,N/A,2024-11-12,N/A,N/A,12-NOV-2024
ONGC,YES ✅,Qtr ended 30-SEP-2024,2024-11-11,2024-11-12,1 Days Prior Notice,"Financial Result Updates  Oil & Natural Gas Corporation Limited has submitted to the Exchange, the financial results for",12-NOV-2024
UNOMINDA,NO,Qtr ended 30-SEP-2024,N/A,2024-11-12,N/A,N/A,12-NOV-2024
ZYDUSLIFE,NO,Qtr ended 30-SEP-2024,N/A,2024-11-12,N/A,N/A,12-NOV-2024
BANKINDIA,NO,Qtr ended 30-SEP-2024,N/A,2024-11-11,N/A,N/A,11-NOV-2024
GODFRYPHLP,NO,Qtr ended 30-SEP-2024,N/A,2024-11-11,N/A,N/A,11-NOV-2024
HINDALCO,YES ✅,Qtr ended 30-SEP-2024,N/A,2024-11-11,N/A,N/A,11-NOV-2024
JUBLFOOD,NO,Qtr ended 30-SEP-2024,N/A,2024-11-11,N/A,N/A,11-NOV-2024
NMDC,NO,Qtr ended 30-SEP-2024,N/A,2024-11-11,N/A,N/A,11-NOV-2024
PGEL,NO,Qtr ended 30-SEP-2024,2024-10-19,2024-11-11,23 Days Prior Notice,"Outcome of Board Meeting PG Electroplast Limited has informed the Exchange regarding  Board meeting held on October 19, ",11-NOV-2024
SHREECEM,NO,Qtr ended 30-SEP-2024,2024-10-07,2024-11-11,35 Days Prior Notice,Updates SHREE CEMENT LIMITED has informed the Exchange regarding 'Intimation of NCLT order approving the Scheme of Amalg,11-NOV-2024
UPL,NO,Qtr ended 30-SEP-2024,2024-10-31,2024-11-11,11 Days Prior Notice,Action(s) taken or orders passed UPL Limited has informed the Exchange about Intimation under Regulation 30 of SEBI (Lis,11-NOV-2024
ASIANPAINT,YES ✅,Qtr ended 30-SEP-2024,2024-10-09,2024-11-09,31 Days Prior Notice,Loss of Share Certificates Please find enclosed the intimation letter dated 7th October 2024 and 8th October 2024 receiv,09-NOV-2024
AUROPHARMA,NO,Qtr ended 30-SEP-2024,N/A,2024-11-09,N/A,N/A,09-NOV-2024
DIVISLAB,NO,Qtr ended 30-SEP-2024,N/A,2024-11-09,N/A,N/A,09-NOV-2024
PREMIERENE,NO,Qtr ended 30-SEP-2024,2024-11-06,2024-11-09,3 Days Prior Notice,Analysts/Institutional Investor Meet/Con. Call Updates Premier Energies Limited has informed the Exchange about Schedule,09-NOV-2024
VEDL,NO,Qtr ended 30-SEP-2024,2024-10-09,2024-11-09,31 Days Prior Notice,"Updates Further to our Letters VEDL/Sec./SE/24-25/167 dated September 25, 2024 and VEDL/Sec./SE/24-25/177 dated October ",09-NOV-2024
ASHOKLEY,NO,Qtr ended 30-SEP-2024,N/A,2024-11-08,N/A,N/A,08-NOV-2024
COCHINSHIP,NO,Qtr ended 30-SEP-2024,2024-11-07,2024-11-08,1 Days Prior Notice,"Financial Result Updates  Cochin Shipyard Limited has submitted to the Exchange, the financial results for the period en",08-NOV-2024
CUMMINSIND,NO,Qtr ended 30-SEP-2024,2024-11-07,2024-11-08,1 Days Prior Notice,"Financial Result Updates  Cummins India Limited has submitted to the Exchange, the financial results for the period ende",08-NOV-2024
FORTIS,NO,Qtr ended 30-SEP-2024,2024-10-09,2024-11-08,30 Days Prior Notice,Outcome of Board Meeting Fortis Healthcare Limited has informed the Exchange regarding  Board meeting held on October 09,08-NOV-2024
GVT&D,NO,Qtr ended 30-SEP-2024,2024-10-17,2024-11-08,22 Days Prior Notice,Updates GE T&D India Limited has informed the Exchange regarding 'Intimation of Change of Name of the Company'.,08-NOV-2024
LICI,NO,Quarterly Financial Results,2024-11-08,2024-11-08,0 Days Prior Notice,"Financial Result Updates  Life Insurance Corporation Of India has submitted to the Exchange, the financial results for t",08-Nov-2024 15:42:32
NAUKRI,NO,Qtr ended 30-SEP-2024,2024-10-08,2024-11-08,31 Days Prior Notice,Updates Info Edge (India) Limited has informed the Exchange regarding 'Intimation of Cancellation of Analyst / Instituti,08-NOV-2024
NHPC,NO,Qtr ended 30-SEP-2024,2024-11-07,2024-11-08,1 Days Prior Notice,"Financial Result Updates  NHPC Limited has submitted to the Exchange, the financial results for the period ended Septemb",08-NOV-2024
PFC,NO,Qtr ended 30-SEP-2024,N/A,2024-11-08,N/A,N/A,08-NOV-2024
SAIL,NO,Qtr ended 30-SEP-2024,2024-11-07,2024-11-08,1 Days Prior Notice,"Financial Result Updates  Steel Authority of India Limited has submitted to the Exchange, the financial results for the ",08-NOV-2024
SBIN,YES ✅,Qtr ended 30-SEP-2024,N/A,2024-11-08,N/A,N/A,08-NOV-2024
TMPV,YES ✅,Qtr ended 30-SEP-2024,N/A,2024-11-08,N/A,N/A,08-NOV-2024
TRENT,YES ✅,Qtr ended 30-SEP-2024,2024-10-14,2024-11-08,25 Days Prior Notice,Loss of Share Certificates Pursuant to Regulation 39(3) of the Securities and Exchange Board of India (Listing Obligatio,08-NOV-2024
APOLLOHOSP,YES ✅,Qtr ended 30-SEP-2024,2024-11-06,2024-11-07,1 Days Prior Notice,"Financial Result Updates  Apollo Hospitals Enterprise Limited has submitted to the Exchange, the financial results for t",07-NOV-2024
ASTRAL,NO,Qtr ended 30-SEP-2024,N/A,2024-11-07,N/A,N/A,07-NOV-2024
INDHOTEL,NO,Qtr ended 30-SEP-2024,N/A,2024-11-07,N/A,N/A,07-NOV-2024
JINDALSTEL,NO,Qtr ended 30-SEP-2024,2024-11-06,2024-11-07,1 Days Prior Notice,Outcome of Board Meeting Jindal Steel & Power Limited has informed the Exchange regarding  Board meeting held on Novembe,07-NOV-2024
LUPIN,NO,Qtr ended 30-SEP-2024,2024-10-22,2024-11-07,16 Days Prior Notice,Analysts/Institutional Investor Meet/Con. Call Updates Lupin Limited has informed the Exchange about Intimation of Earni,07-NOV-2024
M&M,YES ✅,Qtr ended 30-SEP-2024,2024-10-22,2024-11-07,16 Days Prior Notice,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company Mahindra & Mahindra Limited has informed the E,07-NOV-2024
PAGEIND,NO,Qtr ended 30-SEP-2024,N/A,2024-11-07,N/A,N/A,07-NOV-2024
POWERGRID,YES ✅,Qtr ended 30-SEP-2024,2024-10-22,2024-11-07,16 Days Prior Notice,Outcome of Board Meeting Power Grid Corporation of India Limited has informed the Exchange regarding Outcome of Board Me,07-NOV-2024
RVNL,NO,Qtr ended 30-SEP-2024,N/A,2024-11-07,N/A,N/A,07-NOV-2024
BLUESTARCO,NO,Qtr ended 30-SEP-2024,N/A,2024-11-06,N/A,N/A,06-NOV-2024
GAIL,NO,Qtr ended 30-SEP-2024,2024-11-05,2024-11-06,1 Days Prior Notice,"Financial Result Updates  GAIL (India) Limited has submitted to the Exchange, the financial results for the period ended",06-NOV-2024
MANAPPURAM,NO,Qtr ended 30-SEP-2024,2024-11-05,2024-11-06,1 Days Prior Notice,"Financial Result Updates  Manappuram Finance Limited has submitted to the Exchange, the financial results for the period",06-NOV-2024
OIL,NO,Qtr ended 30-SEP-2024,2024-11-04,2024-11-06,2 Days Prior Notice,Updates Oil India Limited has informed the Exchange regarding 'We write further to our letter of even no. dated 30.10.20,06-NOV-2024
POLICYBZR,NO,Qtr ended 30-SEP-2024,2024-11-05,2024-11-06,1 Days Prior Notice,Outcome of Board Meeting PB Fintech Limited has informed the Exchange regarding  Outcome of the Board meeting held on No,06-NOV-2024
TATASTEEL,YES ✅,Qtr ended 30-SEP-2024,N/A,2024-11-06,N/A,N/A,06-NOV-2024
DRREDDY,YES ✅,Qtr ended 30-SEP-2024,N/A,2024-11-05,N/A,N/A,05-NOV-2024
MANKIND,NO,Qtr ended 30-SEP-2024,N/A,2024-11-05,N/A,N/A,05-NOV-2024
MAXHEALTH,YES ✅,Qtr ended 30-SEP-2024,N/A,2024-11-05,N/A,N/A,05-NOV-2024
MAZDOCK,NO,Qtr ended 30-SEP-2024,N/A,2024-11-05,N/A,N/A,05-NOV-2024
TITAN,YES ✅,Qtr ended 30-SEP-2024,N/A,2024-11-05,N/A,N/A,05-NOV-2024
ABB,NO,Qtr ended 30-SEP-2024,N/A,2024-11-04,N/A,N/A,04-NOV-2024
IRFC,NO,Qtr ended 30-SEP-2024,2024-10-08,2024-11-04,27 Days Prior Notice,Outcome of Board Meeting Indian Railway Finance Corporation Limited has informed the Exchange regarding  Board meeting h,04-NOV-2024
TIINDIA,NO,Qtr ended 30-SEP-2024,N/A,2024-11-04,N/A,N/A,04-NOV-2024
ABCAPITAL,NO,Qtr ended 30-SEP-2024,2024-10-30,2024-10-31,1 Days Prior Notice,Outcome of Board Meeting Aditya Birla Capital Limited has informed the Exchange regarding Outcome of Board Meeting held ,31-OCT-2024
LT,YES ✅,Qtr ended 30-SEP-2024,2024-10-30,2024-10-31,1 Days Prior Notice,"Financial Result Updates  Larsen & Toubro Limited has submitted to the Exchange, the financial results for the period en",31-OCT-2024
ADANIENT,YES ✅,Qtr ended 30-SEP-2024,2024-09-27,2024-10-30,33 Days Prior Notice,Updates Adani Enterprises Limited has informed the Exchange regarding 'Intimation regarding acquisition by a joint ventu,30-OCT-2024
APLAPOLLO,NO,Qtr ended 30-SEP-2024,2024-10-14,2024-10-30,16 Days Prior Notice,Updates APL Apollo Tubes Limited has informed the Exchange regarding 'Intimation Regarding Issuance Of Commercial Paper(,30-OCT-2024
BIOCON,NO,Qtr ended 30-SEP-2024,N/A,2024-10-30,N/A,N/A,30-OCT-2024
CONCOR,NO,Qtr ended 30-SEP-2024,2024-10-29,2024-10-30,1 Days Prior Notice,"Financial Result Updates  Container Corporation Of India Limited has submitted to the Exchange, the financial results fo",30-OCT-2024
DABUR,NO,Qtr ended 30-SEP-2024,N/A,2024-10-30,N/A,N/A,30-OCT-2024
PRESTIGE,NO,Qtr ended 30-SEP-2024,2024-10-29,2024-10-30,1 Days Prior Notice,"Financial Result Updates  Prestige Estates Projects Limited has submitted to the Exchange, the financial results for the",30-OCT-2024
TATAPOWER,NO,Qtr ended 30-SEP-2024,N/A,2024-10-30,N/A,N/A,30-OCT-2024
VOLTAS,NO,Qtr ended 30-SEP-2024,2024-10-29,2024-10-30,1 Days Prior Notice,"Financial Result Updates  Voltas Limited has submitted to the Exchange, the financial results for the period ended Septe",30-OCT-2024
ADANIPORTS,YES ✅,Qtr ended 30-SEP-2024,N/A,2024-10-29,N/A,N/A,29-OCT-2024
AMBUJACEM,NO,Qtr ended 30-SEP-2024,2024-10-28,2024-10-29,1 Days Prior Notice,"Financial Result Updates  Ambuja Cements Limited has submitted to the Exchange, the financial results for the period end",29-OCT-2024
CANBK,NO,Qtr ended 30-SEP-2024,N/A,2024-10-29,N/A,N/A,29-OCT-2024
CIPLA,YES ✅,Qtr ended 30-SEP-2024,N/A,2024-10-29,N/A,N/A,29-OCT-2024
