symbol,broadcast_date,year,month_name,month_num,day_of_month,relating_to,from_date,to_date
ADANIPOWER,2024-10-28,2024,October,10,28,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
BHARTIARTL,2024-10-28,2024,October,10,28,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
BHEL,2024-10-28,2024,October,10,28,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
CAMS,2024-10-28,2024,October,10,28,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
FEDERALBNK,2024-10-28,2024,October,10,28,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
INDIANB,2024-10-28,2024,October,10,28,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
IOC,2024-10-28,2024,October,10,28,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
KFINTECH,2024-10-28,2024,October,10,28,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
LICHSGFIN,2024-10-28,2024,October,10,28,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
MOTILALOFS,2024-10-28,2024,October,10,28,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
PNB,2024-10-28,2024,October,10,28,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
SUNPHARMA,2024-10-28,2024,October,10,28,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
SUZLON,2024-10-28,2024,October,10,28,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
CDSL,2024-10-26,2024,October,10,26,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
CHOLAFIN,2024-10-26,2024,October,10,26,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
ICICIBANK,2024-10-26,2024,October,10,26,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
IDFCFIRSTB,2024-10-26,2024,October,10,26,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
PHOENIXLTD,2024-10-26,2024,October,10,26,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
YESBANK,2024-10-26,2024,October,10,26,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
BANDHANBNK,2024-10-25,2024,October,10,25,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
BANKBARODA,2024-10-25,2024,October,10,25,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
BEL,2024-10-25,2024,October,10,25,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
BPCL,2024-10-25,2024,October,10,25,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
COALINDIA,2024-10-25,2024,October,10,25,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
DLF,2024-10-25,2024,October,10,25,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
GMRAIRPORT,2024-10-25,2024,October,10,25,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
HINDPETRO,2024-10-25,2024,October,10,25,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
INDIGO,2024-10-25,2024,October,10,25,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
INOXWIND,2024-10-25,2024,October,10,25,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
JSWSTEEL,2024-10-25,2024,October,10,25,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
LODHA,2024-10-25,2024,October,10,25,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
PETRONET,2024-10-25,2024,October,10,25,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
PNBHOUSING,2024-10-25,2024,October,10,25,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
SHRIRAMFIN,2024-10-25,2024,October,10,25,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
TORNTPHARM,2024-10-25,2024,October,10,25,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
AUBANK,2024-10-24,2024,October,10,24,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
BAJAJFINSV,2024-10-24,2024,October,10,24,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
COLPAL,2024-10-24,2024,October,10,24,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
DIXON,2024-10-24,2024,October,10,24,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
GODREJCP,2024-10-24,2024,October,10,24,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
IEX,2024-10-24,2024,October,10,24,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
INDUSINDBK,2024-10-24,2024,October,10,24,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
ITC,2024-10-24,2024,October,10,24,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
JSWENERGY,2024-10-24,2024,October,10,24,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
LAURUSLABS,2024-10-24,2024,October,10,24,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
NAM-INDIA,2024-10-24,2024,October,10,24,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
NTPC,2024-10-24,2024,October,10,24,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
OFSS,2024-10-24,2024,October,10,24,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
PATANJALI,2024-10-24,2024,October,10,24,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
PIDILITIND,2024-10-24,2024,October,10,24,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
RADICO,2024-10-24,2024,October,10,24,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
UNITDSPR,2024-10-24,2024,October,10,24,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
ADANIENSOL,2024-10-23,2024,October,10,23,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
AMBER,2024-10-23,2024,October,10,23,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
COFORGE,2024-10-23,2024,October,10,23,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
GODREJPROP,2024-10-23,2024,October,10,23,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
HINDUNILVR,2024-10-23,2024,October,10,23,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
INDUSTOWER,2024-10-23,2024,October,10,23,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
KPITTECH,2024-10-23,2024,October,10,23,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
SONACOMS,2024-10-23,2024,October,10,23,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
